ProviderId,ProviderUpdatedOn,Id,Name,PhoneNumber,Email,UpdatedOn,Status,RequestType,PhysicalState,StreetAddress,City,RemoveReason,ZipCode,Country,DBA,Website,FaxNumber
f228524b-86e3-48f7-b492-c86b44c22425,2025-11-06T20:02:52.625814+00:00,9aee16e5-4afb-4ed3-9915-c9636c64f995,Zeigler-Royalton CUSD 188,+1 618-596-5841,mmorgan@zr188.org,2022-03-24T19:09:39.950165+00:00,Active,None,Illinois (IL),4989 IL-148,Mulkeytown,No longer providing training,62865-3296,US,,,
e8ab21e6-dcb2-40d4-8b50-6fab98a0eceb,2025-11-06T19:54:54.0886+00:00,ba9f2a57-9f3c-45fd-b136-06889cd2c386,"XAVIER CHARTER SCHOOL, INC.",+1 503-508-0165,KChuculate@xaviercharter.org,2024-06-17T13:54:29.538145+00:00,Active,None,Idaho (ID),1218 N College Rd W,Twin Falls,No longer providing training,83301-5651,US,"XAVIER CHARTER SCHOOL, INC.",,
006a5603-017d-47ee-81e9-54e80b9655a6,2026-01-21T19:13:44.808567+00:00,dae1cb9c-c004-4f1c-8354-5b121d932b71,Wolverine West Fireworks,+1 360-791-5055,info@wolverinewest.com,2022-03-15T00:23:50.214591+00:00,Active,None,Washington (WA),POB 628,Chehalis,No longer providing training,98532,US,,https://www.wolverinewest.com,
3a4e650d-c747-44ec-9e51-b8ef9b29507f,2025-11-17T15:41:07.285025+00:00,7a525bd0-595e-4c17-b631-1fd1aea8c9a5,wisdom Trans,+1 732-718-9953,wtcdltraining@gmail.com,2022-10-06T13:45:38.68342+00:00,Active,None,New Jersey (NJ),26 Conor Rd,Jackson,No longer providing training,08527-3782,US,,,
c950ebc6-f8a9-4196-8884-c3744cc3453f,2026-01-16T16:03:24.338886+00:00,a81ac9a9-4f38-4b10-bb28-6dc2270f146c,Wipf Custom Farms LLC,+1 605-266-2866,wipfcustomfarms@gmail.com,2024-02-07T18:23:12.285457+00:00,Active,None,South Dakota (SD),18516 403rd Ave,Frankfort,No longer providing training,57440-7800,US,,,
f02161d1-2e57-4f40-8eac-3cb0e3cca493,2025-11-06T19:59:17.21131+00:00,0eab21fc-05c1-4f2b-91e0-c923ed9d7ec2,Westran R1 School,+1 660-277-4299,cwelch@westran.k12.mo.us,2022-04-12T17:18:46.992048+00:00,Active,None,Missouri (MO),228 Huntsville Ave,Huntsville,No longer providing training,65259-1230,US,,,
ac4a317c-3221-4e32-9b1f-71c1b8074b29,2025-11-06T19:10:06.243939+00:00,1848cbcf-393f-4ea9-aa81-2359673afbf4,Wells Propane Inc.,+1 775-752-3421,wpropane.ar@gmail.com,2024-07-23T19:10:56.394649+00:00,Active,None,Nevada (NV),338 Easy St,Wells,No longer providing training,89835,US,,,
8190c133-d57d-4fc5-a825-e0134394bc98,2025-11-06T18:39:13.369187+00:00,2e55f7bd-3586-490d-9119-34c4388a74e1,Waterford-Halfmoon UFSD,+1 518-237-0800,jharblin@whufsd.org,2022-10-26T14:20:48.269895+00:00,Active,None,New York (NY),125 Middletown Rd,Waterford,No longer providing training,12188,US,,https://www.whufsd.org/,
c20cea0f-6969-4d4d-b611-da3808351ac9,2025-11-06T19:24:59.655202+00:00,2c03b9a6-dfa6-4666-878c-4d3eae9fcc25,Washington County Road Department,+1 402-426-6844,washcoroad@abbnebraska.com,2023-09-22T19:55:13.09983+00:00,Active,None,Nebraska (NE),8845 Berry Hill Rd,Blair,No longer providing training,68008,US,,,
bfd3ce2a-d663-4870-a29d-bdee6bff4131,2025-11-06T19:23:13.367425+00:00,4486612b-d460-4f15-937f-23db73aaf730,Village of Roxana,+1 618-254-1951,roxanastreet@roxana-il.org,2025-01-17T15:13:26.682396+00:00,Active,None,Illinois (IL),310 N. Central,Roxana,No longer providing training,62084,US,Village of Roxana,https://roxana-il.org,
6218d0e2-812c-4c91-9bdb-43b50ff94145,2025-11-06T18:21:28.491054+00:00,be33369a-1e09-48d7-ac58-e6f38af89ba0,Village of Milan,+1 309-787-8500,danielledewaele@milan.il.us,2022-07-12T20:23:59.940768+00:00,Active,None,Illinois (IL),405 1st St E,Milan,No longer providing training,61264-2740,US,,,
6eaf04d7-5495-49d2-97b0-93ba433986cd,2025-11-06T18:31:52.779414+00:00,d0628a40-7b5d-425e-888f-d28660038bc5,VEL COACH INC,+1 845-623-1332,LINDA@VELCOACHINC.COM,2023-06-30T20:41:02.494978+00:00,Active,None,New York (NY),230 MAIN ST,NANUET,No longer providing training,10954,US,,,+1 845-623-1330
69ccb626-c68b-43fa-b5f5-1ddb75c92bca,2025-08-11T02:04:48.475935+00:00,f8100326-1138-4433-a468-05e05b53cb4b,Vector MC LLC,+1 267-230-9809,vectorcdlt@gmail.com,2024-02-20T17:58:44.837657+00:00,Active,None,Pennsylvania (PA),52 E Georgianna Dr,Richboro,Involuntary Removal,18954-1341,US,,,
