City,Country,DBA,Email,FaxNumber,Id,Name,PhoneNumber,PhysicalState,ProviderId,ProviderUpdatedOn,RemoveReason,RequestType,Status,StreetAddress,UpdatedOn,Website,ZipCode
Hillsboro,US,West Side Drain Company,info@westsidedrain.com,,d22b96d4-435e-45a6-8fd3-c8cb3a9d716d,West Side Drain Company,+1 503-522-2727,Oregon (OR),c7eda32a-a5ca-4850-846e-6d609635a975,2026-01-14T14:53:39.583572+00:00,Involuntary Removal,Update,Pending,"5976 SE Alexander ST, Suite C",2026-01-14T00:33:32.309104+00:00,https://www.westsidedrain.com/,97123
Gainesville,US,Select,kharrison@selectwater.com,,2ab47ed6-cc32-4ba4-b3b6-9e427f9f6ea4,Select Water Solutions LLC,+1 940-768-8265,Texas (TX),815ce6b2-7e71-4f7a-a4fb-cd932ac764dc,2025-11-04T14:07:50.861516+00:00,Involuntary Removal,Update,Pending,1820 N I-35,2025-11-03T20:23:24.475485+00:00,,76240
Ackerman,US,,billsnyder@choctawsd.ms,+1 662-285-4049,41c7a73c-4f83-453a-ad9e-45486e6f2f69,Choctaw County School District,+1 662-285-4022,Mississippi (MS),d0426be6-3559-4fc8-849a-63ced9f350c5,2026-01-14T14:56:01.024583+00:00,Involuntary Removal,Update,Pending,19 E Main St,2026-01-13T15:06:36.849095+00:00,,39735
Charlotte,US,Zy Kids Logistics LLC,zykidslogisticsllc@icloud.com,,4071d016-7965-4a51-9fa7-b8091ee55f9d,Zy Kids Logistics LLC,+1 704-906-0792,North Carolina (NC),8f933b1f-5380-4304-823a-a3e82ea2d6bd,2025-11-04T14:11:30.657593+00:00,Involuntary Removal,None,Active,"1715 ethel guest ln, C",2022-11-07T20:01:03.032076+00:00,,28206
North Liberty,US,ZTZ Logistics,tory@ztztrucking.com,,3cf8c789-4823-4e96-805f-341da84d5ddb,ZTZ Logistics LLC,+1 319-844-7989,Iowa (IA),b5eff355-4740-4ba5-8746-56f566c5d300,2025-11-04T14:16:45.526825+00:00,Involuntary Removal,None,Active,"545 Pond View Dr, Apt 201",2022-05-26T11:33:14.299651+00:00,,52317
SAINT LOUIS,US,Zoom Local Transport LLC,Zoomlocaltransport@gmail.com,,50de8297-ff07-4dbd-910b-8aaac4d03d3f,Zoom Local Transport LLC,+1 314-518-3468,Missouri (MO),3a368bf0-bd12-4da8-ace7-17328b6eca80,2026-01-14T14:08:57.088204+00:00,Involuntary Removal,None,Active,3802 Jacinto Dr,2024-04-04T21:05:57.129116+00:00,,63125-0001
Ellwood City,US,,jvcoonfare@gmail.com,,da7331aa-ee0f-4fba-85b6-18516488fce2,Zona Tours LLC,+1 724-752-9701,Pennsylvania (PA),cdc25979-8032-4d19-b00f-d8fbf8612fa3,2026-01-14T14:55:21.590901+00:00,Involuntary Removal,None,Active,294 Portersville Rd,2025-12-17T14:34:15.762319+00:00,,16117
JEFFERSON,US,"ZKR Express, Inc.",zkrexpress@aol.com,+1 706-367-8007,dd2ebb76-8f2e-4999-b1b2-de51967a5f94,"ZKR Express, Inc.",+1 706-367-8006,Georgia (GA),d81998db-0f2e-44f5-aad6-63ef040a0b9c,2025-11-04T14:24:24.055276+00:00,Involuntary Removal,None,Active,2199 Athens Hwy.,2022-07-22T18:26:51.459177+00:00,,30549
Garrison,US,,zktrucking90@gmail.com,,67186d3b-576e-45cc-ad82-a662803abc1c,ZK Trucking LLC,+1 701-425-3716,North Dakota (ND),5580a9d2-20a9-4655-97f2-a30c330fc797,2026-01-14T14:17:56.444521+00:00,Involuntary Removal,None,Active,4187 Hwy 37 NW,2024-07-29T13:37:28.372068+00:00,,58540
Brooklyn,US,Zip And Go Driving School Inc,zipandgodriving@gmail.com,+1 718-437-7501,bb1d0931-b9ee-4c55-be67-94ae24103e85,Zip And Go Driving School Inc. ,+1 718-436-7500,New York (NY),06dbc637-c636-4105-b105-f70aa0e33350,2025-11-10T19:30:29.003675+00:00,Voluntary Removal,None,Active,1403 44th street,2021-11-30T12:06:13.075669+00:00,,11219
Dodgeville,US,,maxz@zimmermantransfer.com,,0c2cae57-0bf2-42cb-bcdf-20a1683a18c3,Zimmerman Transfer,+1 608-935-5572,Wisconsin (WI),1d6bcfa3-5d9b-454e-9f78-91b392dcee13,2026-01-14T13:59:11.269659+00:00,Involuntary Removal,None,Active,810 South Lindsey Street,2022-10-18T13:53:44.588382+00:00,http://www.zimmermantransferinc.com,53533
Zephyr,US,Zephyr ISD,stanton.marwitz@zephyrisd.net,+1 325-739-2126,c18ed761-4417-4379-a25e-77846590e4c0,Zephyr ISD,+1 325-739-5331,Texas (TX),f2d522ac-e675-4131-86de-098fbbe2ff2b,2026-01-14T15:08:21.257811+00:00,Involuntary Removal,None,Active,11625 CR 281,2023-06-23T18:54:34.789564+00:00,https://zephyrisd.net,76890
Crestwood,US,,zaring@bellsouth.net,,5d4af328-0c2d-4523-b928-356103f31d6a,"Zaring Septic Service,Inc",+1 502-241-8080,Kentucky (KY),87921ec7-2119-4ffe-891b-578e9f855640,2026-01-14T14:33:39.207516+00:00,Involuntary Removal,None,Active,5912 W Hwy 146,2024-01-16T20:11:00.96698+00:00,,40014
Pueblo,US,,domanickpratt66@gmail.com,,a839b2e0-7670-4924-8966-3879f390807e,ZADD Trucking LLC,+1 719-582-0641,Colorado (CO),3dffc242-73fc-454c-924b-67fc5006b281,2026-01-14T14:10:11.691805+00:00,Involuntary Removal,None,Active,1305 Lambert Ave,2024-07-26T12:09:49.977331+00:00,,81003-1158
Jersey City,US,,ZJFREIGHT@GMAIL.COM,,db596450-f951-4067-bf0c-9e93850125b0,Z&J Freight LLC,+1 551-312-3588,New Jersey (NJ),6919db5d-2b8e-40a4-964e-4fc5fcb55ce8,2026-01-14T14:24:32.363778+00:00,Involuntary Removal,None,Active,80 Lembeck Ave,2024-08-30T19:24:11.569338+00:00,,07305-3917
Bethel,US,Yuut Driving Academy,info@yuut.org,+1 907-543-0998,c7acd5c0-15a2-4d77-aa80-5410039d3023,"Yuut Elitnaurviat - The People's Learning Center, Inc.",+1 907-543-0999,Alaska (AK),c000595d-1e66-46ec-9270-5623d32bf92f,2025-11-04T14:19:39.952157+00:00,Involuntary Removal,None,Active,610 Akiachak Drive,2021-09-16T21:02:30.65119+00:00,https://yuut.org/,99559
Wray,US,,administrator@co.yuma.co.us,,39cda29a-7715-4d08-977c-c48342de635c,Yuma County Colorado,+1 970-332-5796,Colorado (CO),f66d3842-e025-44b3-9ae0-46e82608ea66,2025-11-06T16:44:36.786067+00:00,Voluntary Removal,None,Active,"310 Ash Street, Suite A",2021-12-22T13:05:27.248492+00:00,,80758
spirit lake,US,,yukon64@hotmail.com,,a7809be1-7cd4-4566-ae11-133bb44f932f,Yukon Transport LLC,+1 208-623-4152,Idaho (ID),7695d0ee-36b1-4de3-819e-d977d3fa7031,2026-01-14T14:28:42.473913+00:00,Involuntary Removal,None,Active,27211 N. Rourke rd,2024-02-09T13:29:37.9984+00:00,,83869
Yuba City,US,,Rfarias@ycusd.org,,67919c6f-ffb4-478a-9902-308240dca7e4,yuba city unified school district,+1 503-822-5275,California (CA),a0185d91-db5f-4497-b381-e99c672d0f2f,2025-11-04T14:13:09.581533+00:00,Involuntary Removal,None,Active,1512 Stewart Rd,2022-08-02T12:13:44.596869+00:00,,95993-9706
